FeatureID,FeatureName,cluster 1 Average,cluster 1 Log2 Fold Change,cluster 1 P-Value,cluster 2 Average,cluster 2 Log2 Fold Change,cluster 2 P-Value,cluster 3 Average,cluster 3 Log2 Fold Change,cluster 3 P-Value
ENSMUSG00000025781,Atp5c1,,,,1.133629726,-0.112311308,1,,,
ENSMUSG00000018770,Atp5g3,,,,1.733104126,-0.071908071,1,,,
ENSMUSG00000105361,AY036118,5.140426418,0.675898876,0.038884708,3.496719135,-0.396622228,0.783670974,2.463391715,-0.86222986,0.251962467
ENSMUSG00000014453,Blk,1.265259398,0.573828588,0.076366992,0.831099276,-0.520166164,0.313732289,,,
ENSMUSG00000061132,Blnk,1.928389583,0.360175817,0.460044697,1.447762906,-0.371083616,0.762593745,,,
ENSMUSG00000060802,B2m,,,,,,,2.267202648,-0.488307526,0.64332633
ENSMUSG00000034165,Ccnd3,,,,,,,1.110964124,0.670504587,0.257831173
ENSMUSG00000036438,Calm2,,,,1.179181185,0.337833627,0.828745983,,,
ENSMUSG00000047139,Cd24a,,,,1.156405456,-0.422636838,0.609583374,2.851126321,1.252236261,0.000372777
ENSMUSG00000026399,Cd55,0.267937284,-1.939270104,4.87E-17,1.149959494,1.696036886,5.68E-13,,,
ENSMUSG00000037706,Cd81,3.346005477,1.097281191,5.87E-06,1.541873941,-0.960185223,0.000955347,1.622913109,-0.689416876,0.388979987
ENSMUSG00000024856,Cdk2ap2,0.697862796,-0.516787039,0.13833324,0.957440117,0.294485195,0.950260607,,,
ENSMUSG00000049422,Chchd10,,,,,,,1.495216084,0.828219694,0.080456936
ENSMUSG00000030538,Cib1,,,,0.8048857,-0.562705279,0.216611384,1.631039284,0.752862807,0.142209471
ENSMUSG00000007041,Clic1,,,,,,,2.823265151,0.599208035,0.364875453
ENSMUSG00000032436,Cmtm7,0.542295724,-0.880930552,0.000658122,0.874072351,0.316653414,0.880084337,1.336175242,0.981424668,0.016686597
ENSMUSG00000006782,Cnp,0.987398511,-0.787792316,0.003130713,,,,2.396060556,1.028138749,0.008642936
ENSMUSG00000061518,Cox5b,,,,1.279738182,-0.007667751,1,,,
ENSMUSG00000039488,Cntn5,,,,,,,1.054080904,0.876304808,0.05585195
ENSMUSG00000026616,Cr2,2.473895885,1.614150194,3.65E-12,0.940680618,-1.135638906,4.73E-05,0.449261354,-2.042652475,8.39E-06
ENSMUSG00000032312,Csk,,,,1.418541215,0.289451839,0.957092601,,,
ENSMUSG00000016256,Ctsz,,,,1.259970567,-0.396084383,0.678734456,2.231215305,0.660045331,0.262935628
ENSMUSG00000034445,Cyb561a3,,,,,,,1.387254053,0.915044058,0.034876652
ENSMUSG00000015340,Cybb,1.047815742,0.880705049,0.000775217,0.623539322,-0.563883312,0.223155578,0.421400185,-1.053819467,0.079279946
ENSMUSG00000000346,Dazap2,0.894583635,-0.519101422,0.131721867,,,,,,
